date,text,username,tweet_to,times_retweeted,times_favorited,mentions,hashtags,bot_rating,likely_bot
2018-12-14 07:43:46+00:00,@AprilLaJune The California fires were intentional for high speed rail. This is an interview from a person who use to work at DOE. It was DEW. https://www.youtube.com/watch?v=ub5H7mRSyg4.,TheaKitt,_,1,0,@AprilLaJune,_,0.0031341292841239,False
2018-12-14 07:07:38+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charity Message 11/20/2018 https://www.youtube.com/attribution_link?a=io3e01iWbY8&amp;u=%2Fwatch%3Fv%3DZTbDJPqmRA0%26feature%3Dshare,renoprefinishes,_,0,0,_,_,0.0282255522210501,False
2018-12-14 04:43:41+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,chrisrobisonnet,_,0,0,@YouTube,_,0.0060434470460022,False
2018-12-13 11:03:54+00:00,@realDonaldTrump So the California fires were made for High Speed rail. I hope you jail these people.,TheaKitt,_,0,0,@realDonaldTrump,_,0.0031341292841239,False
2018-12-12 13:03:28+00:00,I liked a @YouTube video http://youtu.be/ZTbDJPqmRA0?a 100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charity Message,GoldStarMom2872,_,0,0,@YouTube,_,0.0321832202696962,False
2018-12-12 12:40:09+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charity Message 11/20/2018 https://www.youtube.com/attribution_link?a=T8gAQpw-SLs&amp;u=%2Fwatch%3Fv%3DZTbDJPqmRA0%26feature%3Dshare,kathygoldade1,_,0,0,_,_,0.0038317559975942,False
2018-12-12 03:06:33+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charity Message 11/20/2018 https://www.youtube.com/attribution_link?a=zLk_jqR4qaI&amp;u=%2Fwatch%3Fv%3DZTbDJPqmRA0%26feature%3Dshare,abigcreek2,_,0,0,_,_,0.0028569400946129,False
2018-12-11 23:00:51+00:00,I liked a @YouTube video http://youtu.be/ZTbDJPqmRA0?a 100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charity Message,Bizarro001,_,0,0,@YouTube,_,0.0099223000945679,False
2018-12-11 21:56:25+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,XPRSTHNX,_,1,1,@YouTube,_,0.0145436808630944,False
2018-12-11 18:33:49+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,LukeBMoney,_,0,0,@YouTube,_,0.0594248020027063,False
2018-12-11 11:39:09+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,lauriedriver910,_,0,0,@YouTube,_,0.0099223000945679,False
2018-12-10 22:14:53+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,RJH53483284,_,0,0,@YouTube,_,0.0068261748847738,False
2018-12-10 21:44:07+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,dancer936,_,0,0,@YouTube,_,0.0165667522459698,False
2018-12-10 17:45:37+00:00,California Fires Revelation! Fires Line Up Exactly in the Path as CA High Speed Rail System (Video) https://m.beforeitsnews.com/v3/prophecy/2018/2500999.html,BowlbyCbowlby,_,0,0,_,_,0.0060434470460022,False
2018-12-10 08:37:27+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charity Message 11/20/2018 - https://youtu.be/ZTbDJPqmRA0?t=97,jamesboyett,_,1,1,_,_,0.0247020392430994,False
2018-12-10 07:09:21+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,autumnterrill11,_,0,0,@YouTube,_,0.0247020392430994,False
2018-12-09 17:26:26+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,CaffreyEj,_,0,0,@YouTube,_,0.0028569400946129,False
2018-12-09 16:02:06+00:00,"Deb Buckler:Wow. One of your best videos yet! I can't wait for the rest! True, there are many thoughts about the California fires...some saying Paradise was torched because of the high speed rail system coming through, others say because of the gold that's there and others say",BKaysac,_,0,0,_,_,0.0414251258494766,False
2018-12-09 15:52:00+00:00,I added a video to a @YouTube playlist http://youtu.be/ZTbDJPqmRA0?a 100 Billion USD High Speed Rail &amp; The California Fires. Anonymous,RHohnadel,_,0,0,@YouTube,_,0.0022344951904619,False
2018-12-09 07:13:50+00:00,100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charit... https://youtu.be/ZTbDJPqmRA0 via @YouTube,zozorry3377,_,0,0,@YouTube,_,0.0670633883567449,False
2018-12-08 14:35:52+00:00,I liked a @YouTube video http://youtu.be/ZTbDJPqmRA0?a 100 Billion USD High Speed Rail &amp; The California Fires. Anonymous Charity Message,StanRawlins,_,0,0,@YouTube,_,0.1415739106756708,False
